task_index,task,feature_index,interval,x,ale
0,task_1,13,24,2.1186399459838867,0.9929280877113342
0,task_1,13,25,2.323542833328247,1.1945503950119019
0,task_1,13,26,2.5473809242248535,1.4136356115341187
0,task_1,13,27,2.7837862968444824,1.6470483541488647
0,task_1,13,28,3.054110527038574,1.9118759632110596
0,task_1,13,29,3.788951873779297,2.618607759475708
0,task_1,14,0,0.0,1.276269793510437
0,task_1,14,1,0.0002256929874420166,1.261754035949707
0,task_1,14,2,0.0006293803453445435,1.261754035949707
0,task_1,14,3,0.0014606565237045288,1.243240237236023
0,task_1,14,4,0.0018823593854904175,1.2289457321166992
0,task_1,14,5,0.003941014409065247,1.179434061050415
0,task_1,14,6,0.005341753363609314,1.1468596458435059
0,task_1,14,7,0.0069457292556762695,1.0852749347686768
0,task_1,14,8,0.009155169129371643,1.0161261558532715
0,task_1,14,9,0.009682267904281616,1.0161261558532715
0,task_1,14,10,0.010360777378082275,0.9969420433044434
0,task_1,14,11,0.01164582371711731,0.9582273364067078
0,task_1,14,12,0.013461843132972717,0.8916875123977661
0,task_1,14,13,0.315270334482193,-0.8566259145736694
0,task_1,14,14,0.315270334482193,-0.8566259145736694
0,task_1,14,15,0.315270334482193,-0.8566259145736694
0,task_1,14,16,0.315270334482193,-0.8566259145736694
0,task_1,14,17,0.315270334482193,-0.8566259145736694
0,task_1,14,18,0.315270334482193,-0.8566259145736694
0,task_1,14,19,0.315270334482193,-0.8566259145736694
0,task_1,14,20,0.315270334482193,-0.8566259145736694
0,task_1,14,21,0.315270334482193,-0.8566259145736694
0,task_1,14,22,0.315270334482193,-0.8566259145736694
0,task_1,14,23,0.315270334482193,-0.8566259145736694
0,task_1,14,24,0.315270334482193,-0.8566259145736694
0,task_1,14,25,0.315270334482193,-0.8566259145736694
0,task_1,14,26,0.315270334482193,-0.8566259145736694
0,task_1,14,27,0.315270334482193,-0.8566259145736694
0,task_1,14,28,0.315270334482193,-0.8566259145736694
0,task_1,14,29,0.315270334482193,-0.8566259145736694
0,task_1,15,0,1.9664511680603027,1862.6451416015625
0,task_1,15,1,1.9664511680603027,1862.6451416015625
0,task_1,15,2,1.9664511680603027,1862.6451416015625
0,task_1,15,3,1.9664511680603027,1862.6451416015625
0,task_1,15,4,1.9664511680603027,1862.6451416015625
0,task_1,15,5,1.9664511680603027,1862.6451416015625
0,task_1,15,6,1.9664511680603027,1862.6451416015625
0,task_1,15,7,1.9664511680603027,1862.6451416015625
0,task_1,15,8,1.9664511680603027,1862.6451416015625
0,task_1,15,9,1.9664511680603027,1862.6451416015625
0,task_1,15,10,1.9664511680603027,1862.6451416015625
0,task_1,15,11,1.9664511680603027,1862.6451416015625
0,task_1,15,12,1.9664511680603027,1862.6451416015625
0,task_1,15,13,1.9664511680603027,1862.6451416015625
0,task_1,15,14,1.9664511680603027,1862.6451416015625
0,task_1,15,15,1.9664511680603027,1862.6451416015625
0,task_1,15,16,1.9664511680603027,1862.6451416015625
0,task_1,15,17,1.9664511680603027,1862.6451416015625
0,task_1,15,18,1.9664511680603027,1862.6451416015625
0,task_1,15,19,1.9664511680603027,1862.6451416015625
0,task_1,15,20,1.9664511680603027,1862.6451416015625
0,task_1,15,21,1.9664511680603027,1862.6451416015625
0,task_1,15,22,1.9664511680603027,1862.6451416015625
0,task_1,15,23,1.9664511680603027,1862.6451416015625
0,task_1,15,24,1.9664511680603027,1862.6451416015625
0,task_1,15,25,1.9664511680603027,1862.6451416015625
0,task_1,15,26,1.9664511680603027,1862.6451416015625
0,task_1,15,27,1.9664511680603027,1862.6451416015625
0,task_1,15,28,1.9664511680603027,1862.6451416015625
0,task_1,15,29,1.9664511680603027,1862.6451416015625
0,task_1,16,0,0.2859359383583069,-0.6286238431930542
0,task_1,16,1,0.29385635256767273,-0.6259903311729431
0,task_1,16,2,0.2992285192012787,-0.6224416494369507
0,task_1,16,3,0.3045482039451599,-0.6192151308059692
0,task_1,16,4,0.3082118332386017,-0.6153383851051331
0,task_1,16,5,0.3122945725917816,-0.6097012758255005
0,task_1,16,6,0.31587252020835876,-0.6044264435768127
0,task_1,16,7,0.3202402591705322,-0.5962269902229309
0,task_1,16,8,0.3240389823913574,-0.5881195068359375
0,task_1,16,9,0.32731008529663086,-0.5801313519477844
0,task_1,16,10,0.33159181475639343,-0.5697960257530212
0,task_1,16,11,0.3356148600578308,-0.5593091249465942
0,task_1,16,12,0.3404679596424103,-0.5458104014396667
0,task_1,16,13,0.34519511461257935,-0.5321916937828064
0,task_1,16,14,0.3493858873844147,-0.520054280757904
0,task_1,16,15,0.3567270040512085,-0.4978066384792328
0,task_1,16,16,0.3649068772792816,-0.472894549369812
0,task_1,16,17,0.37938275933265686,-0.4285190999507904
0,task_1,16,18,0.4088588058948517,-0.33532360196113586
